rank,country,area_km2,area_mi2,population,density_per_km2,density_per_mi2,date,population_source,country_norm
22,Belgium,30689.0,11849.0,11524454,376.0,974.0,"January 1, 2020",Official monthly estimate,belgium
170,Belize,22965.0,8867.0,398050,17.0,44.0,"July 1, 2018",Official annual estimate,belize
79,Benin,112622.0,43484.0,11733059,104.0,269.0,"July 1, 2019",Official annual projection,benin
–,Bermuda (UK),52.0,20.0,64027,1227.0,3178.0,"July 1, 2019",Official Projection,bermuda (uk)
162,Bhutan,38394.0,14824.0,824148,21.0,56.0,"March 18, 2020",Official population clock,bhutan
180,Bolivia,1098581.0,424164.0,11307314,10.0,26.0,"July 1, 2018",Official Projection,bolivia
–,Bonaire (Netherlands),288.0,111.0,18905,66.0,171.0,"December 31, 2014",,bonaire (netherlands)
114,Bosnia and Herzegovina,51209.0,19772.0,3511372,69.0,179.0,"July 1, 2016",Official estimate,bosnia and herzegovina
185,Botswana,581730.0,224607.0,2302878,4.0,10.4,"July 1, 2018",Official Projection,botswana
154,Brazil,8515767.0,3287956.0,211270518,25.0,64.0,"March 18, 2020",Official population clock,brazil
–,British Virgin Islands (UK),151.0,58.0,32206,213.0,552.0,"July 1, 2019",UN projection,british virgin islands (uk)
108,Brunei,5765.0,2226.0,421300,73.0,189.0,"July 1, 2017",Official estimate,brunei
119,Bulgaria,111002.0,42858.0,7000039,63.0,163.0,"December 31, 2018",Official annual estimate,bulgaria
106,Burkina Faso,270764.0,104543.0,20244080,75.0,194.0,"July 1, 2018",Annual official projection,burkina faso
20,Burundi,27816.0,10740.0,11215578,403.0,1044.0,"July 1, 2020",Official annual projection,burundi
91,Cambodia,181035.0,69898.0,16289270,90.0,233.0,"July 1, 2019",Official annual projection,cambodia
125,Cameroon,466050.0,179943.0,24348251,52.0,135.0,"July 1, 2019",Official Projection,cameroon
187,Canada,9984670.0,3855103.0,37961548,4.0,10.0,"March 18, 2020",Official estimate,canada
62,Cape Verde,4033.0,1557.0,550483,136.0,352.0,"July 1, 2019",Official annual projection,cape verde
–,Cayman Islands (UK),259.0,100.0,65813,254.0,658.0,"December 31, 2018",Official estimate,cayman islands (uk)
183,Central African Republic,622436.0,240324.0,4737423,8.0,21.0,"July 1, 2018",UN projection,central african republic
179,Chad,1284000.0,495755.0,15353184,12.0,31.0,"July 1, 2018",UN projection,chad
158,Chile,756096.0,291930.0,17373831,23.0,60.0,"August 31, 2017",Preliminary 2017 census result,chile
59,China,9640821.0,3722342.0,1401812360,145.0,377.0,"March 18, 2020",Official estimate,china
